"Postsecondary Enrollment"
4/3/2023

Year,Level,Division,Subgroup,"Students earning a federally recognized high school diploma","Students enrolled in higher education within 16 months of graduation",Percent
2018,DIV,"Newport News City Public Schools","Students with Disabilities",156,50,32
2018,DIV,"Newport News City Public Schools",White,465,268,58
2018,DIV,"Norfolk City Public Schools","All Students",1514,791,52
2018,DIV,"Norfolk City Public Schools","American Indian",<,<,<
2018,DIV,"Norfolk City Public Schools",Asian,64,43,67
2018,DIV,"Norfolk City Public Schools",Black,832,400,48
2018,DIV,"Norfolk City Public Schools","Economically Disadvantaged",797,354,44
2018,DIV,"Norfolk City Public Schools","English Learners",57,21,37
2018,DIV,"Norfolk City Public Schools",Female,816,478,59
2018,DIV,"Norfolk City Public Schools",Hispanic,124,53,43
2018,DIV,"Norfolk City Public Schools",Male,698,313,45
2018,DIV,"Norfolk City Public Schools","Multiple Races",87,52,60
2018,DIV,"Norfolk City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Norfolk City Public Schools","Students with Disabilities",71,26,37
2018,DIV,"Norfolk City Public Schools",White,398,240,60
2018,DIV,"Northampton County Public Schools","All Students",107,62,58
2018,DIV,"Northampton County Public Schools","American Indian",<,<,<
2018,DIV,"Northampton County Public Schools",Asian,<,<,<
2018,DIV,"Northampton County Public Schools",Black,52,24,46
2018,DIV,"Northampton County Public Schools","Economically Disadvantaged",78,38,49
2018,DIV,"Northampton County Public Schools","English Learners",<,<,<
2018,DIV,"Northampton County Public Schools",Female,55,41,75
2018,DIV,"Northampton County Public Schools",Hispanic,17,<,<
2018,DIV,"Northampton County Public Schools",Male,52,21,40
2018,DIV,"Northampton County Public Schools","Multiple Races",<,<,<
2018,DIV,"Northampton County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Northampton County Public Schools",White,35,27,77
2018,DIV,"Northumberland County Public Schools","All Students",108,71,66
2018,DIV,"Northumberland County Public Schools",Black,37,20,54
2018,DIV,"Northumberland County Public Schools","Economically Disadvantaged",44,22,50
2018,DIV,"Northumberland County Public Schools","English Learners",<,<,<
2018,DIV,"Northumberland County Public Schools",Female,56,45,80
2018,DIV,"Northumberland County Public Schools",Hispanic,<,<,<
2018,DIV,"Northumberland County Public Schools",Male,52,26,50
2018,DIV,"Northumberland County Public Schools","Multiple Races",<,<,<
2018,DIV,"Northumberland County Public Schools","Students with Disabilities",11,<,<
2018,DIV,"Northumberland County Public Schools",White,61,48,79
2018,DIV,"Norton City Public Schools","All Students",49,35,71
2018,DIV,"Norton City Public Schools",Black,<,<,<
2018,DIV,"Norton City Public Schools","Economically Disadvantaged",30,22,73
2018,DIV,"Norton City Public Schools","English Learners",<,<,<
2018,DIV,"Norton City Public Schools",Female,25,19,76
2018,DIV,"Norton City Public Schools",Hispanic,<,<,<
2018,DIV,"Norton City Public Schools",Male,24,16,67
2018,DIV,"Norton City Public Schools","Multiple Races",<,<,<
2018,DIV,"Norton City Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Norton City Public Schools",White,41,28,68
2018,DIV,"Nottoway County Public Schools","All Students",121,65,54
2018,DIV,"Nottoway County Public Schools",Asian,<,<,<
2018,DIV,"Nottoway County Public Schools",Black,39,18,46
2018,DIV,"Nottoway County Public Schools","Economically Disadvantaged",58,29,50
2018,DIV,"Nottoway County Public Schools","English Learners",<,<,<
2018,DIV,"Nottoway County Public Schools",Female,72,47,65
2018,DIV,"Nottoway County Public Schools",Hispanic,11,<,<
2018,DIV,"Nottoway County Public Schools",Male,49,18,37
2018,DIV,"Nottoway County Public Schools","Multiple Races",<,<,<
2018,DIV,"Nottoway County Public Schools","Students with Disabilities",14,<,<
2018,DIV,"Nottoway County Public Schools",White,61,38,62
2018,DIV,"Orange County Public Schools","All Students",343,183,53
2018,DIV,"Orange County Public Schools",Asian,<,<,<
2018,DIV,"Orange County Public Schools",Black,55,29,53
2018,DIV,"Orange County Public Schools","Economically Disadvantaged",112,49,44
2018,DIV,"Orange County Public Schools","English Learners",<,<,<
2018,DIV,"Orange County Public Schools",Female,179,111,62
2018,DIV,"Orange County Public Schools",Hispanic,23,<,<
2018,DIV,"Orange County Public Schools",Male,164,72,44
2018,DIV,"Orange County Public Schools","Multiple Races",34,14,41
2018,DIV,"Orange County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Orange County Public Schools","Students with Disabilities",26,10,38
2018,DIV,"Orange County Public Schools",White,227,127,56
2018,DIV,"Page County Public Schools","All Students",266,122,46
2018,DIV,"Page County Public Schools",Asian,<,<,<
2018,DIV,"Page County Public Schools",Black,<,<,<
2018,DIV,"Page County Public Schools","Economically Disadvantaged",121,36,30
2018,DIV,"Page County Public Schools","English Learners",<,<,<
2018,DIV,"Page County Public Schools",Female,144,78,54
2018,DIV,"Page County Public Schools",Hispanic,<,<,<
2018,DIV,"Page County Public Schools",Male,122,44,36
2018,DIV,"Page County Public Schools","Multiple Races",<,<,<
2018,DIV,"Page County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Page County Public Schools",White,246,110,45
2018,DIV,"Patrick County Public Schools","All Students",162,107,66
2018,DIV,"Patrick County Public Schools",Asian,<,<,<
2018,DIV,"Patrick County Public Schools",Black,<,<,<
2018,DIV,"Patrick County Public Schools","Economically Disadvantaged",70,39,56
2018,DIV,"Patrick County Public Schools","English Learners",<,<,<
2018,DIV,"Patrick County Public Schools",Female,90,70,78
2018,DIV,"Patrick County Public Schools",Hispanic,11,<,<
2018,DIV,"Patrick County Public Schools",Male,72,37,51
2018,DIV,"Patrick County Public Schools","Multiple Races",<,<,<
2018,DIV,"Patrick County Public Schools","Students with Disabilities",17,<,<
2018,DIV,"Patrick County Public Schools",White,137,90,66
2018,DIV,"Petersburg City Public Schools","All Students",213,92,43
2018,DIV,"Petersburg City Public Schools",Asian,<,<,<
2018,DIV,"Petersburg City Public Schools",Black,204,89,44
2018,DIV,"Petersburg City Public Schools","Economically Disadvantaged",152,62,41
2018,DIV,"Petersburg City Public Schools","English Learners",<,<,<
2018,DIV,"Petersburg City Public Schools",Female,100,48,48
2018,DIV,"Petersburg City Public Schools",Hispanic,<,<,<
2018,DIV,"Petersburg City Public Schools",Male,113,44,39
2018,DIV,"Petersburg City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Petersburg City Public Schools","Students with Disabilities",19,<,<
2018,DIV,"Petersburg City Public Schools",White,<,<,<
2018,DIV,"Pittsylvania County Public Schools","All Students",650,403,62
2018,DIV,"Pittsylvania County Public Schools","American Indian",<,<,<
2018,DIV,"Pittsylvania County Public Schools",Asian,<,<,<
2018,DIV,"Pittsylvania County Public Schools",Black,135,68,50
2018,DIV,"Pittsylvania County Public Schools","Economically Disadvantaged",316,167,53
2018,DIV,"Pittsylvania County Public Schools","English Learners",<,<,<
2018,DIV,"Pittsylvania County Public Schools",Female,323,236,73
2018,DIV,"Pittsylvania County Public Schools",Hispanic,23,10,43
2018,DIV,"Pittsylvania County Public Schools",Male,327,167,51
2018,DIV,"Pittsylvania County Public Schools","Multiple Races",13,<,<
2018,DIV,"Pittsylvania County Public Schools","Students with Disabilities",53,21,40
2018,DIV,"Pittsylvania County Public Schools",White,475,315,66
2018,DIV,"Poquoson City Public Schools","All Students",163,114,70
2018,DIV,"Poquoson City Public Schools",Asian,<,<,<
2018,DIV,"Poquoson City Public Schools",Black,<,<,<
2018,DIV,"Poquoson City Public Schools","Economically Disadvantaged",19,<,<
2018,DIV,"Poquoson City Public Schools",Female,76,61,80
2018,DIV,"Poquoson City Public Schools",Hispanic,10,<,<
2018,DIV,"Poquoson City Public Schools",Male,87,53,61
2018,DIV,"Poquoson City Public Schools","Multiple Races",<,<,<
2018,DIV,"Poquoson City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Poquoson City Public Schools","Students with Disabilities",10,<,<
2018,DIV,"Poquoson City Public Schools",White,139,96,69
2018,DIV,"Portsmouth City Public Schools","All Students",824,414,50
2018,DIV,"Portsmouth City Public Schools","American Indian",<,<,<
2018,DIV,"Portsmouth City Public Schools",Asian,<,<,<
2018,DIV,"Portsmouth City Public Schools",Black,593,304,51
2018,DIV,"Portsmouth City Public Schools","Economically Disadvantaged",445,207,47
2018,DIV,"Portsmouth City Public Schools","English Learners",11,<,<
2018,DIV,"Portsmouth City Public Schools",Female,463,272,59
2018,DIV,"Portsmouth City Public Schools",Hispanic,31,16,52
2018,DIV,"Portsmouth City Public Schools",Male,361,142,39
2018,DIV,"Portsmouth City Public Schools","Multiple Races",27,10,37
2018,DIV,"Portsmouth City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Portsmouth City Public Schools","Students with Disabilities",63,17,27
2018,DIV,"Portsmouth City Public Schools",White,162,81,50
2018,DIV,"Powhatan County Public Schools","All Students",343,227,66
2018,DIV,"Powhatan County Public Schools","American Indian",<,<,<
2018,DIV,"Powhatan County Public Schools",Asian,<,<,<
2018,DIV,"Powhatan County Public Schools",Black,15,11,73
2018,DIV,"Powhatan County Public Schools","Economically Disadvantaged",74,33,45
2018,DIV,"Powhatan County Public Schools","English Learners",<,<,<
2018,DIV,"Powhatan County Public Schools",Female,162,120,74
2018,DIV,"Powhatan County Public Schools",Hispanic,11,<,<
2018,DIV,"Powhatan County Public Schools",Male,181,107,59
2018,DIV,"Powhatan County Public Schools","Multiple Races",13,<,<
2018,DIV,"Powhatan County Public Schools","Students with Disabilities",26,<,<
2018,DIV,"Powhatan County Public Schools",White,298,199,67
2018,DIV,"Prince Edward County Public Schools","All Students",134,74,55
2018,DIV,"Prince Edward County Public Schools","American Indian",<,<,<
2018,DIV,"Prince Edward County Public Schools",Black,76,44,58
2018,DIV,"Prince Edward County Public Schools","Economically Disadvantaged",85,41,48
2018,DIV,"Prince Edward County Public Schools","English Learners",<,<,<
2018,DIV,"Prince Edward County Public Schools",Female,72,45,63
2018,DIV,"Prince Edward County Public Schools",Hispanic,<,<,<
2018,DIV,"Prince Edward County Public Schools",Male,62,29,47
2018,DIV,"Prince Edward County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Prince Edward County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Prince Edward County Public Schools",White,51,25,49
2018,DIV,"Prince George County Public Schools","All Students",392,277,71
2018,DIV,"Prince George County Public Schools","American Indian",<,<,<
2018,DIV,"Prince George County Public Schools",Asian,<,<,<
2018,DIV,"Prince George County Public Schools",Black,131,92,70
2018,DIV,"Prince George County Public Schools","Economically Disadvantaged",131,84,64
2018,DIV,"Prince George County Public Schools","English Learners",10,<,<
2018,DIV,"Prince George County Public Schools",Female,204,164,80
2018,DIV,"Prince George County Public Schools",Hispanic,49,31,63
2018,DIV,"Prince George County Public Schools",Male,188,113,60
2018,DIV,"Prince George County Public Schools","Multiple Races",12,<,<
2018,DIV,"Prince George County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Prince George County Public Schools","Students with Disabilities",41,15,37
2018,DIV,"Prince George County Public Schools",White,193,141,73
2018,DIV,"Prince William County Public Schools","All Students",6068,4374,72
2018,DIV,"Prince William County Public Schools","American Indian",22,18,82
2018,DIV,"Prince William County Public Schools",Asian,585,522,89
2018,DIV,"Prince William County Public Schools",Black,1324,952,72
2018,DIV,"Prince William County Public Schools","Economically Disadvantaged",2077,1274,61
2018,DIV,"Prince William County Public Schools","English Learners",811,410,51
2018,DIV,"Prince William County Public Schools",Female,3078,2373,77
2018,DIV,"Prince William County Public Schools",Hispanic,1712,982,57
2018,DIV,"Prince William County Public Schools",Male,2990,2001,67
2018,DIV,"Prince William County Public Schools","Multiple Races",348,259,74
2018,DIV,"Prince William County Public Schools","Native Hawaiian",13,10,77
2018,DIV,"Prince William County Public Schools","Students with Disabilities",462,216,47
2018,DIV,"Prince William County Public Schools",White,2064,1631,79
2018,DIV,"Pulaski County Public Schools","All Students",309,188,61
2018,DIV,"Pulaski County Public Schools","American Indian",<,<,<
2018,DIV,"Pulaski County Public Schools",Black,21,11,52
2018,DIV,"Pulaski County Public Schools","Economically Disadvantaged",134,54,40
2018,DIV,"Pulaski County Public Schools","English Learners",<,<,<
2018,DIV,"Pulaski County Public Schools",Female,155,108,70
2018,DIV,"Pulaski County Public Schools",Hispanic,<,<,<
2018,DIV,"Pulaski County Public Schools",Male,154,80,52
2018,DIV,"Pulaski County Public Schools","Multiple Races",16,<,<
2018,DIV,"Pulaski County Public Schools","Students with Disabilities",38,15,39
2018,DIV,"Pulaski County Public Schools",White,261,162,62
2018,DIV,"Radford City Public Schools","All Students",117,92,79
2018,DIV,"Radford City Public Schools",Black,11,<,<
2018,DIV,"Radford City Public Schools","Economically Disadvantaged",37,22,59
2018,DIV,"Radford City Public Schools",Female,56,46,82
2018,DIV,"Radford City Public Schools",Hispanic,<,<,<
2018,DIV,"Radford City Public Schools",Male,61,46,75
2018,DIV,"Radford City Public Schools","Multiple Races",<,<,<
2018,DIV,"Radford City Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Radford City Public Schools",White,94,76,81
2018,DIV,"Rappahannock County Public Schools","All Students",68,37,54
2018,DIV,"Rappahannock County Public Schools","Economically Disadvantaged",16,<,<
2018,DIV,"Rappahannock County Public Schools","English Learners",<,<,<
2018,DIV,"Rappahannock County Public Schools",Female,35,26,74
2018,DIV,"Rappahannock County Public Schools",Hispanic,<,<,<
2018,DIV,"Rappahannock County Public Schools",Male,33,11,33
2018,DIV,"Rappahannock County Public Schools","Multiple Races",<,<,<
2018,DIV,"Rappahannock County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Rappahannock County Public Schools",White,64,34,53
2018,DIV,"Richmond City Public Schools","All Students",978,521,53
2018,DIV,"Richmond City Public Schools","American Indian",<,<,<
2018,DIV,"Richmond City Public Schools",Asian,10,<,<
2018,DIV,"Richmond City Public Schools",Black,754,387,51
2018,DIV,"Richmond City Public Schools","Economically Disadvantaged",596,274,46
2018,DIV,"Richmond City Public Schools","English Learners",53,18,34
2018,DIV,"Richmond City Public Schools",Female,540,318,59
2018,DIV,"Richmond City Public Schools",Hispanic,101,34,34
2018,DIV,"Richmond City Public Schools",Male,438,203,46
2018,DIV,"Richmond City Public Schools","Multiple Races",<,<,<
2018,DIV,"Richmond City Public Schools","Students with Disabilities",128,40,31
2018,DIV,"Richmond City Public Schools",White,104,85,82
2018,DIV,"Richmond County Public Schools","All Students",93,59,63
2018,DIV,"Richmond County Public Schools",Black,22,11,50
2018,DIV,"Richmond County Public Schools","Economically Disadvantaged",41,21,51
2018,DIV,"Richmond County Public Schools","English Learners",<,<,<
2018,DIV,"Richmond County Public Schools",Female,56,39,70
2018,DIV,"Richmond County Public Schools",Hispanic,<,<,<
2018,DIV,"Richmond County Public Schools",Male,37,20,54
2018,DIV,"Richmond County Public Schools","Multiple Races",<,<,<
2018,DIV,"Richmond County Public Schools","Students with Disabilities",11,<,<
2018,DIV,"Richmond County Public Schools",White,61,42,69
2018,DIV,"Roanoke City Public Schools","All Students",746,404,54
2018,DIV,"Roanoke City Public Schools","American Indian",<,<,<
2018,DIV,"Roanoke City Public Schools",Asian,23,17,74
2018,DIV,"Roanoke City Public Schools",Black,338,160,47
2018,DIV,"Roanoke City Public Schools","Economically Disadvantaged",355,159,45
2018,DIV,"Roanoke City Public Schools","English Learners",60,34,57
2018,DIV,"Roanoke City Public Schools",Female,380,226,59
2018,DIV,"Roanoke City Public Schools",Hispanic,75,30,40
2018,DIV,"Roanoke City Public Schools",Male,366,178,49
2018,DIV,"Roanoke City Public Schools","Multiple Races",28,17,61
2018,DIV,"Roanoke City Public Schools","Students with Disabilities",59,24,41
2018,DIV,"Roanoke City Public Schools",White,281,179,64
2018,DIV,"Roanoke County Public Schools","All Students",1019,740,73
2018,DIV,"Roanoke County Public Schools","American Indian",<,<,<
2018,DIV,"Roanoke County Public Schools",Asian,49,43,88
2018,DIV,"Roanoke County Public Schools",Black,63,41,65
2018,DIV,"Roanoke County Public Schools","Economically Disadvantaged",282,170,60
2018,DIV,"Roanoke County Public Schools","English Learners",21,15,71
2018,DIV,"Roanoke County Public Schools",Female,491,387,79
2018,DIV,"Roanoke County Public Schools",Hispanic,46,31,67
2018,DIV,"Roanoke County Public Schools",Male,528,353,67
2018,DIV,"Roanoke County Public Schools","Multiple Races",59,43,73
2018,DIV,"Roanoke County Public Schools","Students with Disabilities",100,43,43
2018,DIV,"Roanoke County Public Schools",White,801,582,73
2018,DIV,"Rockbridge County Public Schools","All Students",221,152,69
2018,DIV,"Rockbridge County Public Schools","American Indian",<,<,<
2018,DIV,"Rockbridge County Public Schools",Asian,<,<,<
2018,DIV,"Rockbridge County Public Schools",Black,11,<,<
2018,DIV,"Rockbridge County Public Schools","Economically Disadvantaged",80,37,46
2018,DIV,"Rockbridge County Public Schools","English Learners",<,<,<
2018,DIV,"Rockbridge County Public Schools",Female,118,91,77
2018,DIV,"Rockbridge County Public Schools",Hispanic,12,<,<
2018,DIV,"Rockbridge County Public Schools",Male,103,61,59
2018,DIV,"Rockbridge County Public Schools","Multiple Races",<,<,<
2018,DIV,"Rockbridge County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Rockbridge County Public Schools",White,187,131,70
2018,DIV,"Rockingham County Public Schools","All Students",855,529,62
2018,DIV,"Rockingham County Public Schools","American Indian",<,<,<
2018,DIV,"Rockingham County Public Schools",Asian,<,<,<
2018,DIV,"Rockingham County Public Schools",Black,20,11,55
2018,DIV,"Rockingham County Public Schools","Economically Disadvantaged",289,141,49
2018,DIV,"Rockingham County Public Schools","English Learners",100,61,61
2018,DIV,"Rockingham County Public Schools",Female,431,297,69
2018,DIV,"Rockingham County Public Schools",Hispanic,109,67,61
2018,DIV,"Rockingham County Public Schools",Male,424,232,55
2018,DIV,"Rockingham County Public Schools","Multiple Races",34,21,62
2018,DIV,"Rockingham County Public Schools","Students with Disabilities",58,18,31
2018,DIV,"Rockingham County Public Schools",White,684,424,62
2018,DIV,"Russell County Public Schools","All Students",259,176,68
2018,DIV,"Russell County Public Schools",Asian,<,<,<
2018,DIV,"Russell County Public Schools",Black,<,<,<
2018,DIV,"Russell County Public Schools","Economically Disadvantaged",110,59,54
2018,DIV,"Russell County Public Schools",Female,129,97,75
2018,DIV,"Russell County Public Schools",Hispanic,<,<,<
2018,DIV,"Russell County Public Schools",Male,130,79,61
2018,DIV,"Russell County Public Schools","Students with Disabilities",29,11,38
2018,DIV,"Russell County Public Schools",White,250,169,68
2018,DIV,"Salem City Public Schools","All Students",312,214,69
2018,DIV,"Salem City Public Schools",Asian,<,<,<
2018,DIV,"Salem City Public Schools",Black,29,18,62
2018,DIV,"Salem City Public Schools","Economically Disadvantaged",72,36,50
2018,DIV,"Salem City Public Schools","English Learners",<,<,<
2018,DIV,"Salem City Public Schools",Female,168,127,76
2018,DIV,"Salem City Public Schools",Hispanic,10,<,<
2018,DIV,"Salem City Public Schools",Male,144,87,60
2018,DIV,"Salem City Public Schools","Multiple Races",22,12,55
2018,DIV,"Salem City Public Schools","Students with Disabilities",28,11,39
2018,DIV,"Salem City Public Schools",White,244,171,70
2018,DIV,"Scott County Public Schools","All Students",255,169,66
2018,DIV,"Scott County Public Schools",Asian,<,<,<
2018,DIV,"Scott County Public Schools",Black,<,<,<
2018,DIV,"Scott County Public Schools","Economically Disadvantaged",131,76,58
2018,DIV,"Scott County Public Schools","English Learners",<,<,<
2018,DIV,"Scott County Public Schools",Female,144,108,75
2018,DIV,"Scott County Public Schools",Hispanic,<,<,<
2018,DIV,"Scott County Public Schools",Male,111,61,55
2018,DIV,"Scott County Public Schools","Multiple Races",<,<,<
2018,DIV,"Scott County Public Schools","Students with Disabilities",20,<,<
2018,DIV,"Scott County Public Schools",White,245,163,67
2018,DIV,"Shenandoah County Public Schools","All Students",427,191,45
2018,DIV,"Shenandoah County Public Schools","American Indian",<,<,<
2018,DIV,"Shenandoah County Public Schools",Asian,<,<,<
2018,DIV,"Shenandoah County Public Schools",Black,15,<,<
2018,DIV,"Shenandoah County Public Schools","Economically Disadvantaged",147,49,33
2018,DIV,"Shenandoah County Public Schools","English Learners",18,<,<
2018,DIV,"Shenandoah County Public Schools",Female,190,109,57
2018,DIV,"Shenandoah County Public Schools",Hispanic,44,18,41
2018,DIV,"Shenandoah County Public Schools",Male,237,82,35
2018,DIV,"Shenandoah County Public Schools","Multiple Races",<,<,<
2018,DIV,"Shenandoah County Public Schools","Students with Disabilities",49,<,<
2018,DIV,"Shenandoah County Public Schools",White,355,158,45
2018,DIV,"Smyth County Public Schools","All Students",314,176,56
2018,DIV,"Smyth County Public Schools","American Indian",<,<,<
2018,DIV,"Smyth County Public Schools",Black,<,<,<
2018,DIV,"Smyth County Public Schools","Economically Disadvantaged",134,62,46
2018,DIV,"Smyth County Public Schools","English Learners",<,<,<
2018,DIV,"Smyth County Public Schools",Female,157,101,64
2018,DIV,"Smyth County Public Schools",Hispanic,10,<,<
2018,DIV,"Smyth County Public Schools",Male,157,75,48
2018,DIV,"Smyth County Public Schools","Multiple Races",<,<,<
2018,DIV,"Smyth County Public Schools","Students with Disabilities",29,<,<
2018,DIV,"Smyth County Public Schools",White,300,171,57
2018,DIV,"Southampton County Public Schools","All Students",180,110,61
2018,DIV,"Southampton County Public Schools",Asian,<,<,<
2018,DIV,"Southampton County Public Schools",Black,72,45,63
2018,DIV,"Southampton County Public Schools","Economically Disadvantaged",68,32,47
2018,DIV,"Southampton County Public Schools",Female,101,74,73
2018,DIV,"Southampton County Public Schools",Hispanic,<,<,<
2018,DIV,"Southampton County Public Schools",Male,79,36,46
2018,DIV,"Southampton County Public Schools","Multiple Races",<,<,<
2018,DIV,"Southampton County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Southampton County Public Schools","Students with Disabilities",10,<,<
2018,DIV,"Southampton County Public Schools",White,99,60,61
2018,DIV,"Spotsylvania County Public Schools","All Students",1711,1107,65
2018,DIV,"Spotsylvania County Public Schools","American Indian",<,<,<
2018,DIV,"Spotsylvania County Public Schools",Asian,65,52,80
2018,DIV,"Spotsylvania County Public Schools",Black,304,196,64
2018,DIV,"Spotsylvania County Public Schools","Economically Disadvantaged",488,234,48
2018,DIV,"Spotsylvania County Public Schools","English Learners",64,25,39
2018,DIV,"Spotsylvania County Public Schools",Female,852,624,73
2018,DIV,"Spotsylvania County Public Schools",Hispanic,225,119,53
2018,DIV,"Spotsylvania County Public Schools",Male,859,483,56
2018,DIV,"Spotsylvania County Public Schools","Multiple Races",90,62,69
2018,DIV,"Spotsylvania County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Spotsylvania County Public Schools","Students with Disabilities",116,43,37
2018,DIV,"Spotsylvania County Public Schools",White,1022,675,66
2018,DIV,"Stafford County Public Schools","All Students",2180,1554,71
2018,DIV,"Stafford County Public Schools","American Indian",<,<,<
2018,DIV,"Stafford County Public Schools",Asian,72,66,92
2018,DIV,"Stafford County Public Schools",Black,466,328,70
2018,DIV,"Stafford County Public Schools","Economically Disadvantaged",609,351,58
2018,DIV,"Stafford County Public Schools","English Learners",109,55,50
2018,DIV,"Stafford County Public Schools",Female,1124,885,79
2018,DIV,"Stafford County Public Schools",Hispanic,348,222,64
2018,DIV,"Stafford County Public Schools",Male,1056,669,63
2018,DIV,"Stafford County Public Schools","Multiple Races",175,116,66
2018,DIV,"Stafford County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Stafford County Public Schools","Students with Disabilities",180,89,49
2018,DIV,"Stafford County Public Schools",White,1107,813,73
2018,DIV,"Staunton City Public Schools","All Students",169,110,65
2018,DIV,"Staunton City Public Schools",Asian,<,<,<
2018,DIV,"Staunton City Public Schools",Black,33,19,58
2018,DIV,"Staunton City Public Schools","Economically Disadvantaged",75,40,53
2018,DIV,"Staunton City Public Schools","English Learners",<,<,<
2018,DIV,"Staunton City Public Schools",Female,86,63,73
2018,DIV,"Staunton City Public Schools",Hispanic,11,<,<
2018,DIV,"Staunton City Public Schools",Male,83,47,57
2018,DIV,"Staunton City Public Schools","Multiple Races",15,<,<
2018,DIV,"Staunton City Public Schools","Students with Disabilities",16,<,<
2018,DIV,"Staunton City Public Schools",White,108,80,74
2018,DIV,"Suffolk City Public Schools","All Students",902,544,60
2018,DIV,"Suffolk City Public Schools","American Indian",<,<,<
2018,DIV,"Suffolk City Public Schools",Asian,17,15,88
2018,DIV,"Suffolk City Public Schools",Black,516,321,62
2018,DIV,"Suffolk City Public Schools","Economically Disadvantaged",344,184,53
2018,DIV,"Suffolk City Public Schools","English Learners",<,<,<
2018,DIV,"Suffolk City Public Schools",Female,480,347,72
2018,DIV,"Suffolk City Public Schools",Hispanic,44,25,57
2018,DIV,"Suffolk City Public Schools",Male,422,197,47
2018,DIV,"Suffolk City Public Schools","Multiple Races",34,16,47
2018,DIV,"Suffolk City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Suffolk City Public Schools","Students with Disabilities",78,23,29
2018,DIV,"Suffolk City Public Schools",White,286,165,58
2018,DIV,"Surry County Public Schools","All Students",59,39,66
2018,DIV,"Surry County Public Schools",Black,42,30,71
2018,DIV,"Surry County Public Schools","Economically Disadvantaged",37,24,65
2018,DIV,"Surry County Public Schools",Female,29,23,79
2018,DIV,"Surry County Public Schools",Male,30,16,53
2018,DIV,"Surry County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Surry County Public Schools",White,17,<,<
2018,DIV,"Sussex County Public Schools","All Students",61,40,66
2018,DIV,"Sussex County Public Schools",Black,47,35,74
2018,DIV,"Sussex County Public Schools","Economically Disadvantaged",21,13,62
2018,DIV,"Sussex County Public Schools","English Learners",<,<,<
2018,DIV,"Sussex County Public Schools",Female,29,20,69
2018,DIV,"Sussex County Public Schools",Hispanic,<,<,<
2018,DIV,"Sussex County Public Schools",Male,32,20,63
2018,DIV,"Sussex County Public Schools","Multiple Races",<,<,<
2018,DIV,"Sussex County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Sussex County Public Schools",White,12,<,<
2018,DIV,"Tazewell County Public Schools","All Students",334,245,73
2018,DIV,"Tazewell County Public Schools",Asian,<,<,<
2018,DIV,"Tazewell County Public Schools",Black,<,<,<
2018,DIV,"Tazewell County Public Schools","Economically Disadvantaged",158,103,65
2018,DIV,"Tazewell County Public Schools","English Learners",<,<,<
2018,DIV,"Tazewell County Public Schools",Female,168,137,82
2018,DIV,"Tazewell County Public Schools",Hispanic,<,<,<
2018,DIV,"Tazewell County Public Schools",Male,166,108,65
2018,DIV,"Tazewell County Public Schools","Multiple Races",15,<,<
2018,DIV,"Tazewell County Public Schools","Students with Disabilities",34,12,35
2018,DIV,"Tazewell County Public Schools",White,308,226,73
2018,DIV,"Virginia Beach City Public Schools","All Students",4641,3078,66
2018,DIV,"Virginia Beach City Public Schools","American Indian",12,<,<
2018,DIV,"Virginia Beach City Public Schools",Asian,300,230,77
2018,DIV,"Virginia Beach City Public Schools",Black,1100,670,61
2018,DIV,"Virginia Beach City Public Schools","Economically Disadvantaged",1595,871,55
2018,DIV,"Virginia Beach City Public Schools","English Learners",89,51,57
2018,DIV,"Virginia Beach City Public Schools",Female,2328,1696,73
2018,DIV,"Virginia Beach City Public Schools",Hispanic,456,279,61
2018,DIV,"Virginia Beach City Public Schools",Male,2313,1382,60
2018,DIV,"Virginia Beach City Public Schools","Multiple Races",399,259,65
2018,DIV,"Virginia Beach City Public Schools","Native Hawaiian",25,19,76
2018,DIV,"Virginia Beach City Public Schools","Students with Disabilities",273,111,41
2018,DIV,"Virginia Beach City Public Schools",White,2349,1613,69
2018,DIV,"Warren County Public Schools","All Students",380,184,48
2018,DIV,"Warren County Public Schools",Asian,11,<,<
2018,DIV,"Warren County Public Schools",Black,24,11,46
2018,DIV,"Warren County Public Schools","Economically Disadvantaged",138,45,33
2018,DIV,"Warren County Public Schools","English Learners",<,<,<
2018,DIV,"Warren County Public Schools",Female,201,108,54
